,tconst,averagerating,numvotes,movie,start_year,runtime_minutes,genres,id,release_date,production_budget,domestic_gross,worldwide_gross,net_pre_marketing,domestic/world,earnings/cost_ratio,year_released,Profitable?
142,tt1508675,7.2,18490.0,Le Havre,2011,93.0,"Comedy,Drama",29.0,"Oct 21, 2011",5500000.0,611709.0,13480196.0,7980196.0,0.04537834613087228,1.4509447272727272,2011.0,False
143,tt1524575,5.0,14822.0,The Vatican Tapes,2015,91.0,"Horror,Thriller",3.0,"Jul 24, 2015",13000000.0,1784763.0,14929184.0,1929184.0,0.11954859689585177,0.14839876923076922,2015.0,False
146,tt1531663,6.4,45799.0,Everything Must Go,2010,97.0,"Comedy,Drama",50.0,"May 13, 2011",5000000.0,2712131.0,2821010.0,-2178990.0,0.9614042488328648,-0.435798,2011.0,False
147,tt1532503,7.2,83770.0,Beginners,2010,105.0,"Comedy,Drama,Romance",57.0,"Jun 3, 2011",3200000.0,5790894.0,14314407.0,11114407.0,0.40455004527955646,3.4732521875,2011.0,True
148,tt1535438,6.3,38667.0,Hope Springs,2012,100.0,"Comedy,Drama,Romance",75.0,"Aug 8, 2012",30000000.0,63536011.0,133085295.0,103085295.0,0.47740819900500653,3.4361765,2012.0,True
149,tt1536044,5.7,93122.0,Paranormal Activity 2,2010,91.0,Horror,65.0,"Oct 20, 2010",3000000.0,84752907.0,177512032.0,174512032.0,0.4774488018930458,58.17067733333333,2010.0,True
152,tt1554091,7.2,14602.0,A Better Life,2011,98.0,"Drama,Romance",84.0,"Jun 24, 2011",10000000.0,1759252.0,1884251.0,-8115749.0,0.9336611735909919,-0.8115749,2011.0,False
154,tt1560747,7.1,131365.0,The Master,2012,138.0,Drama,87.0,"Sep 14, 2012",37500000.0,16247159.0,50647416.0,13147416.0,0.3207894949665349,0.35059776,2012.0,False
155,tt1560985,4.2,33522.0,The Devil Inside,2012,83.0,Horror,12.0,"Jan 6, 2012",1000000.0,53262945.0,101759490.0,100759490.0,0.5234199286965766,100.75949,2012.0,True
157,tt1563738,7.0,128094.0,One Day,2011,107.0,"Drama,Romance",84.0,"Aug 19, 2011",15000000.0,13843771.0,59168692.0,44168692.0,0.23397121910350832,2.9445794666666667,2011.0,True
158,tt1563742,5.9,25607.0,Overboard,2018,112.0,"Comedy,Romance",61.0,"May 4, 2018",12000000.0,50316123.0,85369830.0,73369830.0,0.5893899870715451,6.1141525,2018.0,True
163,tt1570989,6.2,13397.0,Tiny Furniture,2010,98.0,"Comedy,Drama,Romance",18.0,"Nov 12, 2010",50000.0,391674.0,424149.0,374149.0,0.9234349249909819,7.48298,2010.0,True
164,tt1571249,6.8,36793.0,The Skeleton Twins,2014,93.0,"Comedy,Drama,Romance",36.0,"Sep 12, 2014",1000000.0,5284309.0,5797192.0,4797192.0,0.9115290644160138,4.797192,2014.0,True
165,tt1572315,4.8,41784.0,Texas Chainsaw 3D,2013,92.0,"Horror,Thriller",55.0,"Jan 4, 2013",20000000.0,34341945.0,47666013.0,27666013.0,0.7204702646306919,1.38330065,2013.0,False
166,tt1573072,5.5,11089.0,Housefull,2010,144.0,Comedy,34.0,"Apr 30, 2010",10100000.0,1183658.0,18726300.0,8626300.0,0.06320832198565654,0.8540891089108911,2010.0,False
168,tt1578275,5.3,48148.0,The Dilemma,2011,111.0,"Comedy,Drama",25.0,"Jan 14, 2011",70000000.0,48475290.0,70546865.0,546865.0,0.6871359910890441,0.007812357142857143,2011.0,False
170,tt1583420,6.1,58927.0,Larry Crowne,2011,98.0,"Comedy,Drama,Romance",25.0,"Jul 1, 2011",30000000.0,35608245.0,61449135.0,31449135.0,0.5794751219850369,1.0483045,2011.0,False
171,tt1586265,5.7,65890.0,What to Expect When You're Expecting,2012,110.0,"Comedy,Drama,Romance",86.0,"May 18, 2012",37500000.0,41152203.0,88473016.0,50973016.0,0.4651384666258015,1.3592804266666667,2012.0,False
172,tt1588334,6.5,60070.0,"Jeff, Who Lives at Home",2011,83.0,"Comedy,Drama",65.0,"Mar 16, 2012",10000000.0,4269426.0,4708127.0,-5291873.0,0.9068204829648818,-0.5291873,2012.0,False
174,tt1592873,4.4,51424.0,LOL,2012,97.0,"Comedy,Drama,Romance",14.0,"May 4, 2012",11000000.0,0.0,10431506.0,-568494.0,0.0,-0.05168127272727273,2012.0,False
179,tt1602098,6.7,22213.0,Albert Nobbs,2011,113.0,"Drama,Romance",67.0,"Dec 21, 2011",7500000.0,3014696.0,8539003.0,1039003.0,0.353050116038137,0.13853373333333333,2011.0,False
181,tt1602620,7.9,84960.0,Amour,2012,127.0,"Drama,Romance",51.0,"Dec 19, 2012",9700000.0,6738954.0,36787044.0,27087044.0,0.18318824420902097,2.792478762886598,2012.0,True
183,tt1605630,6.7,192250.0,American Reunion,2012,113.0,Comedy,26.0,"Apr 6, 2012",50000000.0,56758835.0,236799211.0,186799211.0,0.2396918248177778,3.73598422,2012.0,True
184,tt1606389,6.8,173629.0,The Vow,2012,104.0,"Drama,Romance",42.0,"Feb 10, 2012",30000000.0,125014030.0,197618160.0,167618160.0,0.6326039570452432,5.587272,2012.0,True
185,tt1608290,4.7,59914.0,Zoolander 2,2016,101.0,Comedy,64.0,"Feb 12, 2016",50000000.0,28848693.0,55348693.0,5348693.0,0.5212172399445819,0.10697386,2016.0,False
188,tt1621045,6.6,41043.0,Think Like a Man,2012,122.0,"Comedy,Romance",45.0,"Apr 20, 2012",12000000.0,91547205.0,113373764.0,101373764.0,0.8074813940198722,8.447813666666667,2012.0,True
189,tt1622979,5.9,98061.0,Final Destination 5,2011,92.0,Horror,49.0,"Aug 12, 2011",40000000.0,42587643.0,155011165.0,115011165.0,0.2747391970120346,2.875279125,2011.0,True
190,tt1625346,6.3,74071.0,Young Adult,2011,94.0,"Comedy,Drama",94.0,"Dec 9, 2011",12000000.0,16311571.0,22750356.0,10750356.0,0.7169809122986911,0.895863,2011.0,False
191,tt1630036,7.0,17586.0,Courageous,2011,129.0,Drama,87.0,"Sep 30, 2011",2000000.0,34522221.0,35185884.0,33185884.0,0.9811383735591239,16.592942,2011.0,True
192,tt1632708,6.6,317338.0,Friends with Benefits,2011,109.0,"Comedy,Romance",55.0,"Jul 22, 2011",35000000.0,55802754.0,146595891.0,111595891.0,0.3806570130945894,3.1884540285714285,2011.0,True
193,tt1633356,4.0,23190.0,Shark Night 3D,2011,90.0,"Horror,Thriller",52.0,"Sep 2, 2011",25000000.0,18877153.0,18877153.0,-6122847.0,1.0,-0.24491388,2011.0,False
